Year,Month,Region,Total,Tourist,Business,Others,Short_Excursion
1996,Jan.,Oceania Total,8762,3011,1861,2491,1399
1996,Jan.,Malaysia,2186,804,1184,198,0
1996,Jan.,Finland,579,204,288,87,0
1996,Jan.,France,4041,1023,1977,1041,0
1996,Jan.,Belgium,581,186,291,104,0
1996,Jan.,Swiss,1096,372,595,129,0
1996,Jan.,Denmark,641,177,339,125,0
1996,Jan.,Portugal,0,0,0,0,0
1996,Jan.,North America Total,52945,18458,20958,13513,16
1996,Jan.,Singapore,2578,719,1314,534,11
1996,Jan.,India,2046,202,998,598,248
1996,Jan.,Taiwan,33746,24891,5205,3639,11
1996,Jan.,New Zealand,1940,821,539,579,1
1996,Jan.,Brazil,3984,3356,172,390,66
1996,Jan.,South America Unclassified,1185,658,142,362,23
1996,Jan.,South America Total,5169,4014,314,752,89
1996,Jan.,Philippines,5044,871,896,2857,420
1996,Jan.,Asia Total,173790,87218,43262,35193,8117
1996,Jan.,United Kingdom,11702,3579,5066,3049,8
1996,Jan.,Germany,4943,1295,2691,956,1
1996,Jan.,Russia,1897,525,339,861,172
1996,Jan.,Vietnam,0,0,0,0,0
1996,Jan.,Poland,0,0,0,0,0
1996,Jan.,Austria,593,161,233,197,2
1996,Jan.,Sweden,1221,324,728,169,0
1996,Jan.,China,21505,1538,5007,12589,2371
1996,Jan.,Stateless,183,41,35,15,92
1996,Jan.,Indonesia,2738,555,644,1051,488
1996,Jan.,Europe Total,34304,9599,15853,8576,276
1996,Jan.,Europe Unclassified,1783,406,497,787,93
1996,Jan.,Africa Total,933,196,260,463,14
1996,Jan.,U.S.A.,44265,14482,19187,10596,0
1996,Jan.,Netherland,1310,353,772,185,0
1996,Jan.,Spain,723,209,377,137,0
1996,Jan.,North America Unclassified,292,118,76,0,0
1996,Jan.,Ireland,842,239,243,360,0
1996,Jan.,Norway,430,128,251,51,0
1996,Jan.,Canada,7879,3652,1545,2675,7
1996,Jan.,Australia,6676,2164,1292,1834,1386
1996,Jan.,Oceania Unclassified,146,26,30,78,12
1996,Jan.,Mexico,509,206,150,153,0
1996,Jan.,Hong Kong,7204,4212,2074,417,501
1996,Jan.,Thailand,3614,708,1281,1183,442
1996,Jan.,Italy,1922,418,1166,338,0
1996,Jan.,Korea,89392,51814,23453,10713,3412
1996,Feb.,Oceania Total,6984,2366,2305,918,1395
1996,Feb.,Malaysia,3974,2840,1030,103,1
1996,Feb.,Finland,531,233,272,26,0
1996,Feb.,France,3668,1248,2109,311,0
1996,Feb.,Belgium,496,149,318,29,0
1996,Feb.,Swiss,1202,458,683,61,0
1996,Feb.,Denmark,598,199,356,43,0
1996,Feb.,Portugal,0,0,0,0,0
1996,Feb.,North America Total,43793,19291,20581,3916,5
1996,Feb.,Singapore,4577,3150,1037,388,2
1996,Feb.,India,1729,199,1111,330,89
1996,Feb.,Taiwan,61453,55635,4053,1761,4
1996,Feb.,New Zealand,1677,739,726,208,4
1996,Feb.,Brazil,4013,3469,168,317,59
1996,Feb.,South America Unclassified,941,482,180,266,13
1996,Feb.,South America Total,4954,3951,348,583,72
1996,Feb.,Philippines,4177,982,940,1897,358
